brand,key,name,subhead,description,rating,rating_count,ingredients,rating_by_reviews
bj,0_bj,Salted Caramel Core,Sweet Cream Ice Cream with Blonde Brownies & a Salted Caramel Core,"Find your way to the ultimate ice cream experience with our Cores. Whether your primal urges lead you to the center of salted caramel or directly to the blonde brownies, you’ll be in total control of your own ice cream destiny.",3.7,208,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, BROWN SUGAR, SUGAR, MILK, WHEAT FLOUR, EGG YOLKS, CORN SYRUP, EGGS, BUTTER (CREAM, SALT), BUTTEROIL, PECTIN, SEA SALT, SOYBEAN OIL, VANILLA EXTRACT, GUAR GUM, SOY LECITHIN, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), BAKING SODA, SALT, CARRAGEENAN, LACTASE",1.7595427560944803
bj,6_bj,Berry Sweet Mascarpone,Blackberry & Mascarpone Ice Creams with Shortbread Cookies & Fudge-Covered Almonds,"From the sweet blackberry and crazy creamy mascarpone ice creams to the shortbread cookies and fudge-dunked almonds, you’ll fall in love with this flavor faster than you can say “mass-car-po-nay.”",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), ROASTED ALMONDS (ALMONDS, PEANUT OIL), DRIED CANE SYRUP, EGG YOLKS, WHEAT FLOUR, COCONUT OIL, BLACKBERRY JUICE CONCENTRATE, BUTTER (CREAM, SALT), SUGAR, COCOA, SOYBEAN OIL, CORN SYRUP, SALT, BUTTEROIL, SOY LECITHIN, VANILLA EXTRACT, EGGS, GUAR GUM, MILK, NATURAL FLAVORS, BAKING SODA, TAPIOCA STARCH, CARRAGEENAN, LACTIC ACID, CITRIC ACID",2.3935185185185186
bj,9_bj,Boots on the Moooo’n™,A Universe of Milk Chocolate Ice Cream with Fudge Cows & Toffee Meteor Clusters Orbiting a Sugar Cookie Dough Core,"While Space Force works to get boots (back) on the moon, this cosmic concoction will launch your dreams into orbit. With fudgy astronaut cows & toffee meteors, space couldn't be any sweeter. Unless the moon was made out of sugar cookie dough. Which for this limited-time flavor, it actually is!","","","",1.7260233918128653
bj,11_bj,Bourbon Pecan Pie,"Buttery Bourbon Ice Cream with Pecans, Shortbread Cookie Pieces & a Whiskey Caramel Swirl",Not long ago we scoop-toured through Texas asking you to elect the best of two Texas-inspired flavors. Thanks to you this bourbon-y whirl of pecans and cookies wrapped in whiskey-kissed caramel is now available Tex-clusively!,4.6,9,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, PECANS, BUTTER (CREAM, SALT), WHEAT FLOUR, EGG YOLKS, SUGAR, DRIED CANE SYRUP, WHISKEY, DRY MALT EXTRACT (BARLEY), SOYBEAN OIL, SALT, EGGS, CARAMEL COLOR, PEANUT OIL, GUAR GUM, BAKING SODA, CARRAGEENAN, SOY LECITHIN. MAY CONTAIN OTHER TREE NUTS",2.0428571428571427
bj,13_bj,Caramel Chocolate Cheesecake,Caramel Cheesecake Ice Cream with Cheesecake Pieces & Chocolate Cookie Swirls,"In your cheesecake dreams, is it like you’re spooning through a world of caramel cheesecake ice cream swirled with chocolate cookies in a wonderland filled with chunks of cheesecake? Hello? You can wake up now…",4.0,133,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, CORN SYRUP, CANOLA OIL, CREAM CHEESE (PASTEURIZED MILK, CREAM, CHEESE CULTURES, SALT, CAROB BEAN GUM), COCONUT OIL, EGG YOLKS, WHEAT FLOUR, DRIED CANE SYRUP, SOYBEAN OIL, GRAHAM FLOUR, EGGS, COCOA (PROCESSED WITH ALKALI), NATURAL FLAVORS, COCOA, GUAR GUM, BUTTEROIL, MILK PROTEIN CONCENTRATE, CORN STARCH, SALT, SOY LECITHIN, TAPIOCA STARCH, PECTIN, CARAMELIZED SUGAR SYRUP, BAKING SODA, MOLASSES, HONEY, CARRAGEENAN, VANILLA EXTRACT",1.7785203750116034
bj,14_bj,Cherry Garcia®,Cherry Ice Cream with Cherries & Fudge Flakes,"Our euphorically edible tribute to guitarist Jerry Garcia & Grateful Dead fans everywhere, it’s the first ice cream named for a rock legend and the most famous of our fan-suggested flavors.",4.4,153,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CHERRIES, SUGAR, EGG YOLKS, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), FRUIT AND VEGETABLE CONCENTRATES (COLOR), COCOA POWDER, GUAR GUM, NATURAL FLAVORS, LEMON JUICE CONCENTRATE, CARRAGEENAN, MILK FAT, SOY LECITHIN",1.6294760794760792
bj,16_bj,Chocolate Chip Cookie Dough,Vanilla Ice Cream with Gobs of Chocolate Chip Cookie Dough,We knew we were onto something big when we made the world’s first batch of Chocolate Chip Cookie Dough ice cream in 1984. Today the flavor still reigns among our all-time most popular concoctions.,4.6,983,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, WHEAT FLOUR, SUGAR, BROWN SUGAR, EGG YOLKS, BUTTER (CREAM, SALT), EXPELLER PRESSED SOYBEAN OIL, EGGS, COCONUT OIL, CHOCOLATE LIQUOR, VANILLA EXTRACT, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, SALT, MOLASSES, GUAR GUM, COCOA BUTTER, NATURAL FLAVOR, CARRAGEENAN, MILK FAT, SOY LECITHIN",1.683139173656415
bj,18_bj,Chocolate Shake It™,Chocolate Malt Milkshake Ice Cream With Salted Fudge Pieces & Marshmallow Swirls,For those who prefer their ice cream shaken & swirled here’s a chocolate malt milkshake and marshmallow creation we topped off with euphoric morsels of salted fudge. Enjoy!,3.9,111,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, CORN SYRUP, WHEAT FLOUR, POWDERED SUGAR (CANE SUGAR, CORNSTARCH), SUGAR, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), BUTTER (CREAM, SALT), BARLEY MALT, TAPIOCA SYRUP, EGG WHITES, MILK, COCOA, SEA SALT, GUAR GUM, NATURAL FLAVOR, PECTIN, VANILLA EXTRACT, ENZYMES, CARRAGEENAN, SALT, BAKING SODA",1.632461873638344
bj,21_bj,Chunky Monkey®,Banana Ice Cream with Fudge Chunks & Walnuts,"To create a flavor as fun as the name, we monkeyed around with bunches of test batches until we knew we had a winner: the nuttiest chocolatey-chunkiest concoction-gone-bananas you'll ever go ape for.",4.4,108,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WALNUTS, BANANA PUREE, COCONUT OIL, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COCOA POWDER, LEMON JUICE CONCENTRATE, GUAR GUM, NATURAL FLAVORS, MILK FAT, CARRAGEENAN, SOY LECITHIN, VANILLA EXTRACT",1.817691803855583
bj,22_bj,Cinnamon Buns®,Caramel Ice Cream with Cinnamon Bun Dough & a Cinnamon Streusel Swirl,"Our cool salute to cinnamon buns is so cinnamon-streuseled & dough-loaded, there's no telling where the cinnamon buns end or the ice cream begins. That's because it's one fun flavor all the way through. Enjoy!",4.6,83,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), SUGAR, DRIED CANE SYRUP, WHEAT FLOUR, CORN SYRUP, EGG YOLKS, BROWN SUGAR, SOYBEAN OIL, BUTTER (CREAM, SALT), SPICE, COCONUT OIL, MOLASSES, SALT, SOY LECITHIN, SODIUM BICARBONATE, VANILLA EXTRACT, GUAR GUM, CARRAGEENAN",1.461739417989418
bj,23_bj,Coffee Coffee BuzzBuzzBuzz!®,Coffee Ice Cream with Espresso Bean Fudge Chunks,"Somewhere between the creamy coffee coffee ice cream & the buzzbuzzbuzz of espresso fudge, it hits you: you’re wide awake & in lovelovelove.",4.9,47,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, COCONUT OIL, COFFEE EXTRACT, EGG YOLKS, COCOA (PROCESSED WITH ALKALI), COFFEE, COCOA POWDER, SOY LECITHIN, GUAR GUM, VANILLA EXTRACT, CARRAGEENAN",2.1875
bj,25_bj,Cold Brew Caramel Latte,Cold Brew & Sweet Cream Ice Creams with Salted Caramel Swirls,"If you’ve been looking for a more chillacious way to get your Ben & Jerry’s on, this dreamy latte-inspired ice cream made with cold brew coffee, rich sweet cream, & salt-kissed caramel is a mighty cool & euphoric motorvator.",4.6,10,"CREAM, SKIM MILK, WATER, LIQUID SUGAR (SUGAR, WATER), CORN SYRUP, EGG YOLKS, SUGAR, BUTTER (CREAM, SALT), COFFEE, SEA SALT, GUAR GUM, CARAMELIZED SUGAR SYRUP, CARRAGEENAN, BAKING SODA",2.125
bj,30_bj,Milk & Cookies,"Vanilla Ice Cream with a Chocolate Cookie Swirl, Chocolate Chip & Chocolate Chocolate Chip Cookies","How do you take classic milk-&-cookie goodness to a whole 'nother level of greatness? We don’t really know what that means, but we know this flavor’s loaded with the most euphoric assortment of cookies we ever dunked, chunked & swirled in our ice cream.",4.7,104,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, CANOLA OIL, EGG YOLKS, BROWN SUGAR, BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), COCOA, COCONUT OIL, CHOCOLATE LIQUOR, SOYBEAN OIL, EGGS, SALT, NATURAL FLAVORS, VANILLA EXTRACT, TAPIOCA STARCH, GUAR GUM, HONEY, BAKING SODA, COCOA BUTTER, SOY LECITHIN, VANILLA BEANS, CARRAGEENAN",2.6087801087801084
bj,31_bj,Mint Chocolate Cookie,Peppermint Ice Cream with Chocolate Sandwich Cookies,"In case you’ve ever wondered what makes this wintry flavor so wicked cool to luge a spoon through: it’s the pepperminty excellence we packed in it, not to mention all those chocolate sandwich cookie moguls. Enjoy!",4.4,141,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, WHEAT FLOUR, EGG YOLKS, COCONUT OIL, COCOA (PROCESSED WITH ALKALI), SUNFLOWER OIL, SALT, BAKING SODA, GUAR GUM, NATURAL FLAVORS, SOY LECITHIN, PEPPERMINT EXTRACT, CARRAGEENAN",1.3338474025974023
bj,34_bj,Oat of This Swirled™,Buttery Brown Sugar Ice Cream with Fudge Flakes & Oatmeal Cinnamon Cookie Swirls,"When’s the best time to enjoy this blissful mix of brown sugar ice cream with otherworldly swirls of cinnamony oatmeal cookies? Any time between breakfast and bed, from now ‘til whenever.",4.5,255,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, SUGAR, CANOLA OIL, COCONUT OIL, EGG YOLKS, BUTTER (CREAM, SALT), COCOA (PROCESSED WITH ALKALI), BUTTER OIL, WHEAT FLOUR, OATS, BROWN SUGAR, COCOA POWDER, SPICE, TAPIOCA STARCH, SALT, GUAR GUM, SOY LECITHIN, VANILLA EXTRACT, BAKING SODA, NATURAL FLAVOR, LEMON JUICE CONCENTRATE, CARRAGEENAN, MILK FAT",2.479304029304029
bj,35_bj,Peanut Butter Cup,Peanut Butter Ice Cream with Peanut Butter Cups,We interrupt our regularly scheduled programming to remind you how much you love ice cream that’s perfectly peanut buttery & peanut butter cuppity at the same time.,4.4,41,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, PEANUTS, SUGAR, COCONUT OIL, EGG YOLKS, PARTIALLY DEFATTED PEANUT FLOUR, PEANUT OIL, MILK, COCOA (PROCESSED WITH ALKALI), SALT, GUAR GUM, COCOA, NATURAL FLAVOR, SOY LECITHIN, VANILLA EXTRACT, CARRAGEENAN",2.2033449007133217
bj,36_bj,Peanut Butter World®,Milk Chocolate Ice Cream with Peanut Buttery Swirls & Chocolate Cookie Swirls,"\"What makes Ben & Jerry's so euphoric? Some say it's the legendary creamy-richness of our flavor creations. Others say it's the tastebud-boggling combinations of spoon-bending chunks & perfect swirls. We say, \"\"Enjoy!\"\"\"",4.9,69,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, PEANUTS, SUGAR, COCOA (PROCESSED WITH ALKALI), CANOLA OIL, PEANUT OIL, WHEAT FLOUR, COCOA, COCONUT OIL, EGG YOLKS, SALT, TAPIOCA STARCH, GUAR GUM, NATURAL FLAVORS, SOY LECITHIN, BAKING SODA, CARRAGEENAN",1.8136932192231732
bj,38_bj,Pistachio Pistachio,Pistachio Ice Cream with Lightly Roasted Pistachios,The name alone shows how much we love pistachios. But don't just take our word for it - let the flavor speak for itself!,4.0,80,"CREAM, SKIM MILK, LIQUID SUGAR (SUGAR, WATER), WATER, PISTACHIOS, EGG YOLKS, SUGAR, COCONUT OIL, GUAR GUM, SALT, NATURAL FLAVORS, CARRAGEENAN",0.9322608784893268
bj,41_bj,S'mores,"Chocolate Ice Cream with Fudge Chunks, Toasted Marshmallow & Graham Cracker Swirls","Remember when cookouts & campfires kindled your cravings for s'mores, glorious s’mores? We loaded this flavor with all the stuff that makes s’mores so glorious, so you can kindle your cravings whenever, no campfires required.",4.1,151,"CREAM, LIQUID SUGAR (SUGAR, WATER), SKIM MILK, WATER, SUGAR, COCOA (PROCESSED WITH ALKALI), SOYBEAN OIL, CORN SYRUP, CORN STARCH, COCONUT OIL, CORN SYRUP SOLIDS, WHEAT FLOUR, GRAHAM FLOUR, EGG YOLKS, SALT, BUTTEROIL, EGG WHITES, CANOLA OIL, COCOA POWDER, GUAR GUM, TAPIOCA STARCH, MOLASSES, HONEY, SOY LECITHIN, SODIUM BICARBONATE, VANILLA EXTRACT, PECTIN, MILKFAT, CARRAGEENAN, NATURAL FLAVOR",1.5293920498557596
